GeoFips,GeoName,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2
31000,Nebraska,125854.6,124982.3,125175.2,126161.7,125377.5,126155.4,128147.2,130595.3,126839.9,119618.5,128932.1,131549.0,134276.9,135525.1,134914.7,135042.7,138852.3,138489.9,140462.6,139959.0,143571.5,144439.3,145763.8,146304.0,144587.4,146449.4
32000,Nevada,167717.8,168034.2,168412.9,170389.2,173525.4,174565.5,176929.3,179098.7,176390.3,149898.5,167606.3,170412.8,174062.9,181580.4,186042.7,188210.3,188304.6,191022.9,190782.2,191743.3,193145.9,193925.2,196337.6,198213.7,199575.2,200465.4
33000,New Hampshire,82609.6,82234.7,82311.7,81921.9,84347.2,84175.4,84688.6,84541.5,85033.2,76992.4,84485.4,86099.5,85839.9,90142.5,90859.8,92954.9,90184.0,91409.5,91925.2,92145.6,92579.6,93151.3,93715.9,94420.0,95430.3,95926.2
34000,New Jersey,603518.4,605050.5,608384.5,610615.4,613573.3,615760.2,621655.5,623774.9,619413.0,553910.8,603713.0,611848.7,623521.8,624414.9,633190.5,648726.1,645236.8,649107.1,650867.1,655732.1,658105.2,659290.9,666885.3,671272.7,672565.1,676537.6
35000,New Mexico,94910.9,96003.6,96371.5,97022.2,98030.7,99652.6,101756.4,101929.1,101237.0,92796.4,98093.4,98362.8,99725.2,100088.6,101396.5,102460.1,102040.5,101376.7,103751.8,106037.2,107462.1,110521.1,110908.8,112402.9,111886.4,112370.9
36000,New York,1657343.0,1666633.8,1674522.8,1662247.5,1684004.1,1703063.6,1708092.1,1722297.4,1710292.6,1559243.7,1669629.5,1687973.4,1688534.8,1722666.3,1742180.1,1791507.9,1775770.4,1756439.3,1763451.5,1764747.2,1772700.3,1783664.9,1805139.3,1803338.4,1814253.5,1831168.7
37000,North Carolina,553558.4,557420.4,556684.9,558631.0,561115.0,564031.8,570485.7,576267.6,572150.7,531070.9,574878.5,579917.5,588790.5,597073.5,601226.5,613778.5,618753.7,614745.8,617641.1,627008.3,631755.3,630907.2,640889.9,648716.8,653319.0,658943.8
38000,North Dakota,57719.4,58569.1,59088.8,58688.2,59158.2,59579.3,59806.0,59090.3,58465.7,53921.5,55555.3,55460.0,56647.7,56693.3,56591.6,55744.3,55470.3,55129.9,55924.5,57427.3,58628.2,60382.6,60971.1,61412.5,60007.6,60017.8
39000,Ohio,652512.1,653457.0,657793.8,661085.2,665056.3,670570.8,678380.7,682247.9,668010.1,610974.1,666732.5,675256.4,679322.3,687117.3,691297.1,704179.1,694554.1,693922.0,694134.2,698421.3,700558.6,705783.8,713582.3,719341.9,719377.5,725370.1
40000,Oklahoma,194401.3,195485.7,196224.0,198011.1,198280.5,198784.5,202174.2,201049.6,197708.1,182679.1,193715.8,192140.5,193118.7,194712.0,193306.0,195394.5,190909.6,191072.3,194523.9,199256.1,202475.7,207496.1,209845.3,211876.3,210539.1,211722.1
